# Tag usage order at Cornell (only first column will be used)
# Read 7068202 records (ignored 3 bad), with the following field occurences:
001   7068202  100.0%
005   7068202  100.0%
008   7068202  100.0%
245   7068199  100.0%
035   7040375  99.6%
260   6875818  97.3%
040   6865741  97.1%
300   6635667  93.9%
650   4926370  69.7%
100   4519652  63.9%
948   4172537  59.0%
500   3697657  52.3%
050   3670130  51.9%
905   3575683  50.6%
950   3103410  43.9%
010   2988513  42.3%
504   2713615  38.4%
020   2562494  36.3%
043   2457825  34.8%
700   2131544  30.2%
082   1917319  27.1%
007   1823716  25.8%
830   1689872  23.9%
899   1616585  22.9%
710   1512709  21.4%
856   1482453  21.0%
490   1428113  20.2%
651   1381833  19.5%
006   1317676  18.6%
906   1241018  17.6%
533   1092430  15.5%
250   1008657  14.3%
600    897463  12.7%
042    807828  11.4%
110    796555  11.3%
246    675961   9.6%
440    654412   9.3%
506    621864   8.8%
090    582604   8.2%
505    549048   7.8%
510    548781   7.8%
610    529930   7.5%
041    515107   7.3%
995    477330   6.8%
952    473851   6.7%
538    438187   6.2%
037    416605   5.9%
655    393132   5.6%
776    387810   5.5%
530    379812   5.4%
740    379484   5.4%
086    377746   5.3%
903    374831   5.3%
520    373675   5.3%
880    366092   5.2%
066    365443   5.2%
240    352987   5.0%
015    345318   4.9%
362    256273   3.6%
074    237620   3.4%
049    231937   3.3%
546    229432   3.2%
988    228030   3.2%
016    212526   3.0%
502    197005   2.8%
902    195829   2.8%
310    195732   2.8%
029    195615   2.8%
130    188420   2.7%
099    177644   2.5%
730    177484   2.5%
987    172376   2.4%
511    154594   2.2%
752    154377   2.2%
072    143318   2.0%
336    140987   2.0%
337    140976   2.0%
338    140917   2.0%
022    139272   2.0%
588    136574   1.9%
980    134819   1.9%
024    132450   1.9%
025    131236   1.9%
994    126468   1.8%
264    124507   1.8%
653    119058   1.7%
045    116887   1.7%
028    115591   1.6%
630    115038   1.6%
111    105810   1.5%
810    104163   1.5%
539    104046   1.5%
976    100859   1.4%
799     98398   1.4%
088     93152   1.3%
780     88221   1.2%
773     75625   1.1%
092     73750   1.0%
550     71385   1.0%
060     71326   1.0%
785     69018   1.0%
222     68410   1.0%
048     64747   0.9%
019     62904   0.9%
255     61511   0.9%
515     55751   0.8%
052     54150   0.8%
034     51830   0.7%
938     51259   0.7%
981     49715   0.7%
518     48671   0.7%
541     44907   0.6%
263     44733   0.6%
580     43816   0.6%
210     40530   0.6%
711     38364   0.5%
852     37550   0.5%
850     37163   0.5%
084     36318   0.5%
516     35040   0.5%
265     32363   0.5%
256     31937   0.5%
800     31863   0.5%
536     31644   0.4%
070     29990   0.4%
321     25387   0.4%
508     23926   0.3%
521     23719   0.3%
306     23261   0.3%
652     20836   0.3%
033     20049   0.3%
648     19243   0.3%
055     18264   0.3%
910     17186   0.2%
535     16737   0.2%
901     16572   0.2%
501     16480   0.2%
853     16162   0.2%
863     16066   0.2%
047     14958   0.2%
555     13299   0.2%
524     12946   0.2%
936     12851   0.2%
611     12582   0.2%
030     12051   0.2%
051     11688   0.2%
247     10987   0.2%
945     10725   0.2%
011     10650   0.2%
513      9623   0.1%
525      9546   0.1%
262      9492   0.1%
534      9338   0.1%
787      8991   0.1%
904      8356   0.1%
775      7828   0.1%
583      7147   0.1%
760      6880   0.1%
545      6488   0.1%
540      6479   0.1%
570      6240   0.1%
990      6137   0.1%
096      5804   0.1%
032      5401   0.1%
012      5351   0.1%
027      5243   0.1%
254      4893   0.1%
503      3974   0.1%
212      3911   0.1%
886      3781   0.1%
590      3652   0.1%
243      3331   0.0%
772      3171   0.0%
770      3133   0.0%
507      3107   0.0%
797      3056   0.0%
975      2871   0.0%
350      2697   0.0%
586      2539   0.0%
017      2403   0.0%
257      2265   0.0%
242      2255   0.0%
912      2238   0.0%
935      2097   0.0%
999      2074   0.0%
864      2052   0.0%
690      1986   0.0%
044      1977   0.0%
544      1975   0.0%
567      1945   0.0%
891      1910   0.0%
079      1645   0.0%
930      1384   0.0%
855      1267   0.0%
865      1255   0.0%
811      1202   0.0%
777      1172   0.0%
351      1159   0.0%
039      1115   0.0%
080      1114   0.0%
547      1093   0.0%
854      1074   0.0%
347      1017   0.0%
561       970   0.0%
966       957   0.0%
796       950   0.0%
522       904   0.0%
997       828   0.0%
920       807   0.0%
765       777   0.0%
900       717   0.0%
654       657   0.0%
946       612   0.0%
753       594   0.0%
069       506   0.0%
046       485   0.0%
410       475   0.0%
305       360   0.0%
344       322   0.0%
922       316   0.0%
585       288   0.0%
556       265   0.0%
340       255   0.0%
949       245   0.0%
699       230   0.0%
656       211   0.0%
